City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Hervey Bay,-25.2986,152.8535,291.49,87,35,4.47,AU,2022-04-17 15:52:34
59,Caravelas,-17.7125,-39.2481,300.67,58,97,5.67,BR,2022-04-17 15:52:34
60,Coihaique,-45.5752,-72.0662,280.49,81,100,0.0,CL,2022-04-17 15:52:35
61,Avarua,-21.2078,-159.775,297.18,94,50,1.54,CK,2022-04-17 15:50:15
62,Mayo,38.8876,-76.5119,286.63,41,0,10.73,US,2022-04-17 15:52:35
63,Bachaquero,9.9694,-71.1494,297.91,90,100,3.51,VE,2022-04-17 15:52:35
64,Longyearbyen,78.2186,15.6401,267.06,86,75,3.6,SJ,2022-04-17 15:52:36
65,Ornskoldsvik,63.2909,18.7153,283.68,66,89,3.09,SE,2022-04-17 15:52:36
66,Mehamn,71.0357,27.8492,276.12,100,100,4.63,NO,2022-04-17 15:52:36
67,Mitsamiouli,-11.3847,43.2844,301.26,78,30,4.26,KM,2022-04-17 15:52:37
68,Kishi,9.0833,3.85,308.98,29,64,1.18,NG,2022-04-17 15:52:37
69,Victoria,22.2855,114.1577,296.03,77,96,4.02,HK,2022-04-17 15:52:37
70,Sena Madureira,-9.0656,-68.6569,300.91,78,26,2.21,BR,2022-04-17 15:52:38
71,Odienne,9.51,-7.5692,307.41,33,100,2.59,CI,2022-04-17 15:52:38
72,Husavik,66.0449,-17.3389,278.56,93,99,3.02,IS,2022-04-17 15:52:38
73,Puerto Madero,14.7208,-92.4215,303.42,65,56,4.19,MX,2022-04-17 15:52:39
74,College,64.8569,-147.8028,263.14,50,20,4.12,US,2022-04-17 15:49:47
75,Yellowknife,62.456,-114.3525,258.46,56,20,3.09,CA,2022-04-17 15:51:53
76,Bengkulu,-3.8004,102.2655,298.56,89,34,1.52,ID,2022-04-17 15:52:39
77,Segou,13.4317,-6.2157,312.15,12,7,3.38,ML,2022-04-17 15:52:39
78,Korla,41.7597,86.1469,287.82,14,0,0.68,CN,2022-04-17 15:52:40
79,San Pancrazio Salentino,40.4191,17.8305,289.14,61,100,9.99,IT,2022-04-17 15:52:40
80,Hofn,64.2539,-15.2082,281.28,80,20,3.89,IS,2022-04-17 15:52:40
81,Tasiilaq,65.6145,-37.6368,274.01,99,100,2.94,GL,2022-04-17 15:52:41
82,Jibuti,11.5,42.5,300.31,56,58,6.29,DJ,2022-04-17 15:50:17
83,Xining,36.6167,101.7667,278.05,33,90,3.13,CN,2022-04-17 15:52:41
84,Ushumun,52.7833,126.5333,270.04,75,42,2.26,RU,2022-04-17 15:52:41
85,Coquimbo,-29.9533,-71.3436,287.0,88,100,1.03,CL,2022-04-17 15:52:42
86,Oxford,51.7522,-1.256,292.24,30,0,6.17,GB,2022-04-17 15:48:33
87,Ciudad Bolivar,8.1222,-63.5497,307.5,35,96,4.83,VE,2022-04-17 15:52:42
88,Monrovia,6.3005,-10.7969,304.02,73,100,3.17,LR,2022-04-17 15:50:25
89,Athabasca,54.7169,-113.2854,271.98,66,98,0.43,CA,2022-04-17 15:53:43
90,Ngunguru,-35.6167,174.5,292.04,94,100,13.09,NZ,2022-04-17 15:53:43
91,Golyshmanovo,56.3979,68.3728,276.88,67,32,2.69,RU,2022-04-17 15:53:43
92,Kungurtug,50.5994,97.5228,273.07,90,26,1.02,RU,2022-04-17 15:53:44
93,Pevek,69.7008,170.3133,255.77,95,100,1.36,RU,2022-04-17 15:50:20
94,Rosarito,32.3333,-117.0333,291.62,63,41,5.96,MX,2022-04-17 15:53:44
95,Monterey,36.2505,-121.2516,286.03,66,0,1.0,US,2022-04-17 15:52:01
96,Camopi,3.1655,-52.3158,300.72,80,99,1.88,GF,2022-04-17 15:53:45
97,Alyangula,-13.8483,136.4192,297.08,94,100,0.0,AU,2022-04-17 15:53:45
98,Hermanus,-34.4187,19.2345,293.04,59,9,6.96,ZA,2022-04-17 15:53:45
99,Tual,-5.6667,132.75,301.57,76,100,2.68,ID,2022-04-17 15:49:03
100,Bethel,41.3712,-73.414,281.53,47,15,3.58,US,2022-04-17 15:53:46
101,Kozhva,65.1073,57.0459,270.81,93,87,2.44,RU,2022-04-17 15:53:46
102,Bredasdorp,-34.5322,20.0403,290.61,72,0,4.22,ZA,2022-04-17 15:53:46
103,Iranshahr,27.2025,60.6848,308.34,13,53,5.14,IR,2022-04-17 15:53:46
104,Lasa,46.6166,10.7002,289.65,60,66,2.83,IT,2022-04-17 15:53:47
105,Necochea,-38.5473,-58.7368,293.31,51,78,1.65,AR,2022-04-17 15:53:47
106,Port Blair,11.6667,92.75,301.42,69,39,1.28,IN,2022-04-17 15:53:47
107,Pangnirtung,66.1451,-65.7125,259.83,91,100,2.81,CA,2022-04-17 15:53:48
108,Saint-Augustin,51.226,-58.6502,274.44,99,100,5.0,CA,2022-04-17 15:53:48
109,Khasan,42.4308,130.6434,281.13,59,91,2.45,RU,2022-04-17 15:53:48
110,Butaritari,3.0707,172.7902,300.5,74,20,5.33,KI,2022-04-17 15:53:49
111,Airai,-8.9266,125.4092,289.16,92,100,0.75,TL,2022-04-17 15:53:49
112,Cabedelo,-6.9811,-34.8339,304.52,70,76,4.18,BR,2022-04-17 15:53:49
113,Vredendal,-31.6683,18.5012,299.35,26,0,5.19,ZA,2022-04-17 15:53:50
114,Gat,31.61,34.7642,308.53,29,1,4.51,IL,2022-04-17 15:53:50
115,Susaki,33.3667,133.2833,285.83,79,100,2.12,JP,2022-04-17 15:53:50
116,Namatanai,-3.6667,152.4333,300.26,78,99,3.53,PG,2022-04-17 15:53:51
117,Vila Velha,-20.3297,-40.2925,301.12,61,0,7.72,BR,2022-04-17 15:52:02
118,Sistranda,63.7256,8.834,286.13,74,95,1.63,NO,2022-04-17 15:53:51
119,Swabi,34.1199,72.4699,301.17,16,74,2.88,PK,2022-04-17 15:53:51
120,Erzincan,39.75,39.5,285.79,50,95,2.08,TR,2022-04-17 15:53:52
121,Tuktoyaktuk,69.4541,-133.0374,257.15,66,100,3.09,CA,2022-04-17 15:50:23
122,Talnakh,69.4865,88.3972,260.49,96,100,3.64,RU,2022-04-17 15:53:52
123,Faanui,-16.4833,-151.75,300.47,71,10,5.05,PF,2022-04-17 15:53:52
124,Mazatan,14.8667,-92.45,306.19,55,0,4.12,MX,2022-04-17 15:53:53
125,Port Elizabeth,-33.918,25.5701,292.31,92,20,4.63,ZA,2022-04-17 15:51:35
126,Kargasok,59.0556,80.8572,274.05,78,100,5.17,RU,2022-04-17 15:53:53
127,New Norfolk,-42.7826,147.0587,289.77,61,100,1.34,AU,2022-04-17 15:53:53
128,Dikson,73.5069,80.5464,259.86,93,100,5.91,RU,2022-04-17 15:53:54
