City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hervey Bay,AU,2022-04-17 15:52:34,-25.2986,152.8535,291.49,87,35,4.47
59,Caravelas,BR,2022-04-17 15:52:34,-17.7125,-39.2481,300.67,58,97,5.67
60,Coihaique,CL,2022-04-17 15:52:35,-45.5752,-72.0662,280.49,81,100,0.0
61,Avarua,CK,2022-04-17 15:50:15,-21.2078,-159.775,297.18,94,50,1.54
62,Mayo,US,2022-04-17 15:52:35,38.8876,-76.5119,286.63,41,0,10.73
63,Bachaquero,VE,2022-04-17 15:52:35,9.9694,-71.1494,297.91,90,100,3.51
64,Longyearbyen,SJ,2022-04-17 15:52:36,78.2186,15.6401,267.06,86,75,3.6
65,Ornskoldsvik,SE,2022-04-17 15:52:36,63.2909,18.7153,283.68,66,89,3.09
66,Mehamn,NO,2022-04-17 15:52:36,71.0357,27.8492,276.12,100,100,4.63
67,Mitsamiouli,KM,2022-04-17 15:52:37,-11.3847,43.2844,301.26,78,30,4.26
68,Kishi,NG,2022-04-17 15:52:37,9.0833,3.85,308.98,29,64,1.18
69,Victoria,HK,2022-04-17 15:52:37,22.2855,114.1577,296.03,77,96,4.02
70,Sena Madureira,BR,2022-04-17 15:52:38,-9.0656,-68.6569,300.91,78,26,2.21
71,Odienne,CI,2022-04-17 15:52:38,9.51,-7.5692,307.41,33,100,2.59
72,Husavik,IS,2022-04-17 15:52:38,66.0449,-17.3389,278.56,93,99,3.02
73,Puerto Madero,MX,2022-04-17 15:52:39,14.7208,-92.4215,303.42,65,56,4.19
74,College,US,2022-04-17 15:49:47,64.8569,-147.8028,263.14,50,20,4.12
75,Yellowknife,CA,2022-04-17 15:51:53,62.456,-114.3525,258.46,56,20,3.09
76,Bengkulu,ID,2022-04-17 15:52:39,-3.8004,102.2655,298.56,89,34,1.52
77,Segou,ML,2022-04-17 15:52:39,13.4317,-6.2157,312.15,12,7,3.38
78,Korla,CN,2022-04-17 15:52:40,41.7597,86.1469,287.82,14,0,0.68
79,San Pancrazio Salentino,IT,2022-04-17 15:52:40,40.4191,17.8305,289.14,61,100,9.99
80,Hofn,IS,2022-04-17 15:52:40,64.2539,-15.2082,281.28,80,20,3.89
81,Tasiilaq,GL,2022-04-17 15:52:41,65.6145,-37.6368,274.01,99,100,2.94
82,Jibuti,DJ,2022-04-17 15:50:17,11.5,42.5,300.31,56,58,6.29
83,Xining,CN,2022-04-17 15:52:41,36.6167,101.7667,278.05,33,90,3.13
84,Ushumun,RU,2022-04-17 15:52:41,52.7833,126.5333,270.04,75,42,2.26
85,Coquimbo,CL,2022-04-17 15:52:42,-29.9533,-71.3436,287.0,88,100,1.03
86,Oxford,GB,2022-04-17 15:48:33,51.7522,-1.256,292.24,30,0,6.17
87,Ciudad Bolivar,VE,2022-04-17 15:52:42,8.1222,-63.5497,307.5,35,96,4.83
